time_s,x,y,z,roll_rad,pitch_rad,yaw_rad,vx_cmd,vy_cmd,vz_cmd,target_x,target_y,target_z,target_yaw,dist_m,yaw_err_rad,speed_ms,wind_enabled,rl_profile
0.02,0.0,0.0,0.9759,0.0,-0.0,0.0,2.5,2.5,1.4265,2.0,2.0,2.0,0.0,3.0081,0.0,3.8125,0,0
0.04,0.0,0.0,0.9445,-0.0074,0.0073,-0.0001,1.2,1.2,0.8,2.0,2.0,2.0,0.0,3.0189,0.0001,1.8762,0,3
0.06,0.0007,0.0007,0.9367,-0.0131,0.0131,-0.0001,2.0,2.0,1.1022,2.0,2.0,2.0,0.0,3.0208,0.0001,3.0356,0,1
0.08,0.0025,0.0025,0.9519,-0.0206,0.0205,-0.0022,2.0,2.0,0.9724,2.0,2.0,2.0,0.0,3.0131,0.0022,2.9909,0,1
0.1,0.006,0.0059,0.986,-0.0267,0.0267,-0.001,2.3852,2.3658,0.945,2.0,2.0,2.0,0.0,2.9968,0.001,3.4899,0,0
0.12,0.0114,0.0114,1.0326,-0.0327,0.0327,-0.0016,1.2,1.2,0.5405,2.0,2.0,2.0,0.0,2.974,0.0016,1.781,0,3
0.14,0.0191,0.0191,1.0831,-0.0388,0.0388,-0.0014,2.3381,2.3394,0.7561,2.0,2.0,2.0,0.0,2.9476,0.0014,3.3928,0,0
0.16,0.0292,0.0291,1.1336,-0.0451,0.0449,-0.0033,0.6,0.6,0.0984,2.0,2.0,2.0,0.0,2.9188,0.0033,0.8542,0,6
0.18,0.0417,0.0417,1.1811,-0.0501,0.0502,-0.0009,0.7,0.7,0.1758,2.0,2.0,2.0,0.0,2.888,0.0009,1.0054,0,5
0.2,0.0568,0.0568,1.2194,-0.0554,0.0554,-0.0024,0.8,0.8,0.2983,2.0,2.0,2.0,0.0,2.8568,0.0024,1.17,0,4
0.22,0.0749,0.0748,1.2529,-0.0603,0.0603,-0.0016,2.2239,2.2159,0.6539,2.0,2.0,2.0,0.0,2.8232,0.0016,3.2068,0,0
0.24,0.0965,0.0964,1.2879,-0.0658,0.0658,-0.0022,1.5,1.5,0.4661,2.0,2.0,2.0,0.0,2.7846,0.0022,2.1719,0,2
0.26,0.122,0.1218,1.3242,-0.0711,0.0711,-0.0021,0.7,0.7,0.1667,2.0,2.0,2.0,0.0,2.7406,0.0021,1.0039,0,5
0.28,0.1511,0.1508,1.3571,-0.0712,0.0713,-0.0007,1.2,1.2,0.3502,2.0,2.0,2.0,0.0,2.6928,0.0007,1.7328,0,3
0.3,0.1838,0.1835,1.3865,-0.079,0.0789,-0.0026,1.5,1.5,0.405,2.0,2.0,2.0,0.0,2.6409,0.0026,2.1596,0,2
